DateTime,PlatformType,Speed_km_hr,Distance_1_sec,PlatformName,SymbologyCode,EstimatedPoints,BEARING,POINT_X,POINT_Y,POINT_Z,DateTimeSim,COUNTSim,ORIG_FID,Division,Qualification,Source,Battery
,2,6.000000000000000,1.666666666666667," Brooks, J",,9.911850762225356,351.869897627732598,-81.650437988252236,29.225431894849478,0.000000000000000,6/10/2025 8:30:45,2,1,Division A,FFT2,ArcGIS,85
,2,6.000000000000000,1.666666666666667,"Adams, M",,58.243619250421602,0.000000000000000,-81.660811347776004,29.200375238594038,0.000000000000000,6/10/2025 8:30:45,2,10,Division B,CRWB,External,93
,2,6.000000000000000,1.666666666666667,"Cook, V",,180.678778073161368,262.726591194271577,-81.709376939133563,29.219602199239173,0.000000000000000,6/10/2025 8:30:45,2,79,Division C,FFT1,ArcGIS,81
,2,6.000000000000000,1.666666666666667,"Cox, K",,9.309199220606649,331.699011408950071,-81.650471389411138,29.225557231903505,0.000000000000000,6/10/2025 8:30:45,2,259,Division A,FFT2,ArcGIS,78
,6,20.000000000000000,5.555555555555555,Dozer_1,,158.193175746992551,190.784249620416574,-81.716336733815339,29.198770236721256,0.000000000000000,6/10/2025 8:30:45,2,268,,,ArcGIS,93
,6,20.000000000000000,5.555555555555555,Dozer_2,,242.404520250345172,100.619401866120995,-81.706370036230808,29.180188555461402,0.000000000000000,6/10/2025 8:30:45,2,426,,,ArcGIS,98
,6,20.000000000000000,5.555555555555555,Dozer_3,,219.783725561004132,86.424115935031509,-81.674918299656653,29.176089439809413,0.000000000000000,6/10/2025 8:30:45,2,668,,,External,
,2,6.000000000000000,1.666666666666667,"Edwards, O",,99.667623025674317,267.795816164032090,-81.708435961059976,29.219915459852899,0.000000000000000,6/10/2025 8:30:45,2,887,Division C,,ArcGIS,77
,2,6.000000000000000,1.666666666666667,"Evans, L",,113.366157143084450,181.973630812114436,-81.707706288300770,29.221430578761357,0.000000000000000,6/10/2025 8:30:45,2,986,Division C,FFT2,External,67
,2,6.000000000000000,1.666666666666667,"Gonzalez, G",,78.975456677898720,335.226300050985117,-81.661876346359392,29.206150000251654,0.000000000000000,6/10/2025 8:30:45,2,1099,Division B,FFT2,ArcGIS,86
